V1,V2,V3,V4,V5,Approach,Cycle,Trait
0.70434591916388,0.811561927885228,0.796443596401019,0.714841468561931,0.722343609643666,All,1,HD1.days.year3
0.679189760118356,0.80807698656182,0.786778115317073,0.673728050215621,0.741840984291625,CDmean,1,HD1.days.year3
0.665762772417846,0.841249184938597,0.794080762527657,0.665574110701229,0.720448627446806,Random,1,HD1.days.year3
0.676529399721418,0.802948003999423,0.682169241155074,0.803268801456278,0.746985701617733,All,2,HD1.days.year3
0.699546912697516,0.807094515259563,0.668836669244295,0.783240615320383,0.730433785266591,CDmean,2,HD1.days.year3
0.696524806430421,0.789684976121068,0.670870651427046,0.748263814030652,0.71139419880774,Random,2,HD1.days.year3
0.760813518117275,0.716111283533758,0.760362857416251,0.700709391310201,0.775828103468213,All,3,HD1.days.year3
0.696066126188797,0.708239433029543,0.738026418597301,0.720917477916702,0.760938397906014,CDmean,3,HD1.days.year3
0.721679206493068,0.700493566129108,0.731770470760429,0.726340327545501,0.715143003096479,Random,3,HD1.days.year3
0.754813786192277,0.746247338501139,0.757868898771863,0.796225906954254,0.684413294144241,All,4,HD1.days.year3
0.737387517776481,0.73552706638677,0.748950775657258,0.796310200450567,0.697169627525305,CDmean,4,HD1.days.year3
0.689704006054764,0.712647353798205,0.758510656566581,0.781538064553379,0.675145483421001,Random,4,HD1.days.year3
0.785700847713701,0.707017251116654,0.770881186752824,0.706825205793166,0.733114416950927,All,5,HD1.days.year3
0.754947121381468,0.700458883372982,0.785055009078252,0.696483446382619,0.747948081947567,CDmean,5,HD1.days.year3
0.764684274916868,0.718203785344802,0.755378322580697,0.683274917602412,0.725874857267932,Random,5,HD1.days.year3
0.809381442211535,0.794060423701007,0.762311564917576,0.725421627660462,0.6634498100296,All,6,HD1.days.year3
0.783317970028745,0.742287722149691,0.777601750692377,0.718823348958735,0.661808042392203,CDmean,6,HD1.days.year3
0.788260514555269,0.766093606553382,0.762254810501334,0.69534385800925,0.666062258818528,Random,6,HD1.days.year3
0.728529355115742,0.780609762046602,0.65083547512749,0.820441690414365,0.687867114948728,All,7,HD1.days.year3
0.72931478334906,0.786753980130909,0.647691742037243,0.808809289338709,0.661531099520499,CDmean,7,HD1.days.year3
0.72682389465329,0.742745103943961,0.639756993002841,0.747695261667293,0.650201668966759,Random,7,HD1.days.year3
0.733381737652738,0.75289512630208,0.66046252996746,0.74028064227296,0.763768593560984,All,8,HD1.days.year3
0.736766188797304,0.737775808023276,0.650777253302699,0.732202402372262,0.771693193128274,CDmean,8,HD1.days.year3
0.712342643830462,0.74424551046038,0.63490349532727,0.725660161123417,0.76557576397753,Random,8,HD1.days.year3
0.755739266142379,0.704291509700008,0.713561704663988,0.722092317061894,0.790534788268857,All,9,HD1.days.year3
0.743770222320149,0.694638278224927,0.717419035121719,0.736453544860377,0.77305297440349,CDmean,9,HD1.days.year3
0.736197653563673,0.691992712655488,0.716884265823099,0.677535369764254,0.769112345331411,Random,9,HD1.days.year3
0.688077582096812,0.680937138077623,0.78569931362612,0.739988671842851,0.802114396607034,All,10,HD1.days.year3
0.675807690992344,0.679613823129299,0.79435235238848,0.738139050432565,0.801193914301337,CDmean,10,HD1.days.year3
0.670457269911607,0.689192255193775,0.802753159045357,0.735968296205132,0.792816314785262,Random,10,HD1.days.year3
