Taxa,Ccirc.year3.BC,Bcirc.year3.BC,CmL.year3.BC,DBI.year3.BC,CmNdN.year3.BC,TotCulms.year3.BC,Yld.year3.BC,HD1.days.year3,Selection.index,Pop
Akeno,-0.664778579696089,1.96412056168803,284.298436789246,0.926179076530959,-0.0748820456007861,-1.61398756733589,3.33613502787577,1.90854984840587,9.09214411229215,Msi
CANE9233.US47.0011,-4.47871297583571,-5.58376265854102,-84.5708435911844,0.400062430714227,-2.51412247945507,-9.89349050020453,-17.7626052900329,-0.0984068771755237,-25.8391747194476,Msi
DC.2010.001.A,-6.38502793168078,-1.49134744382261,58.0968131866635,0.529998971982331,-2.09252728442357,-7.86552348643209,-17.1919446826342,-37.6146087146984,7.90893599671965,Msi
DC.2010.001.E,-3.71892984057469,-2.48956672377937,-89.1278522560245,0.0369464890502746,-2.02390652924444,-3.30057029592581,-7.26749655535672,8.59559913936734,-21.6429628974277,Msi
Gunma,-0.612921708745099,1.67379479415086,245.034886223019,0.730054805057202,-0.246106815858916,-1.28592202295772,3.14448324795287,-9.06903566916476,11.6491310102504,Msi
JM0001.001,-1.44429383554779,0.697452131320987,30.8562792223865,0.334005668743509,-1.43197903234387,2.37703903289261,-1.82877974221284,-35.7769291976022,-19.1270727321129,Msi
JM0001.002,-2.99930292081946,0.257288302851645,35.2186296462513,0.448301709519525,-0.63091161515033,-0.769689584656535,-5.0819518216077,-38.9053494588381,-17.1539600661784,Msi
JM0001.003,-4.32789032551303,-2.29112567231736,-60.0765607842285,0.203553099828912,-2.47550405388324,-3.45646165991972,-11.8975174556648,-58.5578142418819,-16.6285033897864,Msi
JM0022.001,-2.11648799043545,0.404419118289436,51.4510075555506,0.332083989500187,-0.933853257118719,-0.120165664199029,-3.60181599679536,-50.4828447894055,-8.47143934398348,Msi
JM0022.002,-1.46153773959045,1.53456106140828,139.134789284966,0.607560570836777,-0.6974691164855,-3.00354079776897,-2.89380803591652,-47.8429474360668,-1.37168441786806,Msi
JM0022.003,-3.14972286533554,0.603766611299072,141.155630356123,0.481839576350972,-0.813176084545768,-2.27705368210889,-5.09276457812405,-38.6067380639864,12.7830752760329,Msi
JM0026.001,-1.45864682367751,0.992649760799539,103.941752653137,0.934831143672564,0.272373045098221,-3.93417477265557,-1.62149634195834,-28.6119002682004,-39.1710063839706,Msi
JM0026.002,-1.89377224103951,0.813611717353645,68.3862417881752,0.506331998356442,-0.0652626051246536,-4.33553452233489,-3.6249498635014,-46.0620544348828,-12.2478406004949,Msi
JM0026.003,-6.82464216129705,-2.56344475326829,78.8707316610109,0.512299620838853,-1.05576483865132,-6.23801865940733,-11.6717080636821,-40.0633819008074,6.20677559623239,Msi
JM0034.001,-2.29411084026801,1.27538539177656,82.3042930130573,0.342771165020171,-0.22734740143551,-0.144843570698618,-5.52601233414554,-41.8437215215797,2.42114063841556,Msi
JM0040.003,-2.60311862938592,-0.841415878008977,87.7637310927126,0.742671250132745,-1.56605804419394,-5.20924559872905,-6.01349618558321,-45.3000231929861,-19.9889525320731,Msi
JM0045.002,-3.90543735614938,0.247005370986846,64.6842924175625,0.327362951750916,-1.44421101303886,-2.68493085404442,-8.10067962166136,-48.0578142418818,5.51820185090627,Msi
JM0047.001,-3.65936416160875,6.48253191489197,97.1945900799519,0.666835630510577,-0.814373026753011,-3.65420674732316,-8.01607592957175,-44.7570154704746,-14.5634764609349,Msi
JM0047.002,-5.06729868839479,-0.840672739363486,26.425910034005,0.502892886135983,-0.289887043846919,-7.15315853184969,-10.2102436060595,-24.7164154854245,-12.6474725318596,Msi
JM0048.001,-1.97113889265128,0.594085303404245,-6.81229207037034,0.468822188760239,-0.693568855076519,-3.6272600625242,-7.40929302468239,-31.9127657804636,-29.3528456573171,Msi
JM0050.003,-4.07577100050639,-0.563308885277804,35.8627827298148,0.468849715393019,-0.847011213372159,-2.49024626132965,-5.56514609055475,-43.4365121869779,-16.9459593302503,Msi
JM0051.002,-1.34387205487393,1.9194437450331,52.8079890234852,0.713429082062743,-1.41205181657296,-0.416902802184194,-2.43440778088144,-51.2906170505061,-33.7315368335718,Msi
JM0051.003,-0.775926603409913,1.42067572172789,32.3341425084562,0.464908035124029,-0.166735640769596,-1.76030435969303,-2.61181330169936,-35.3605145289283,-26.2588438194472,Msi
JM0053.002,-2.47305604920665,1.57647431620581,37.031422200809,0.618267595355619,-0.488105487524168,-3.29038254240631,-6.32764137865576,-37.5578142418818,-27.7847640687836,Msi
JM0055.001,-2.18086955738349,0.793427771510519,101.235049801282,0.651584930658104,-1.3569208216088,-3.13005826943242,-3.72181027541703,-41.9156170505065,-14.0058991308643,Msi
JM0057.001,-1.56797314209258,1.62965928957274,68.8741394627028,0.529804064742467,-0.695151268619338,-2.32081836105055,-2.90357752982676,-52.3566581402665,-18.0331584461567,Msi
JM0057.002,-2.74361888604575,1.0849642859462,129.797592261595,0.654070393513058,-1.14127728997256,-2.73459203038754,-5.18860690304674,-38.9416318108506,-3.39311888801979,Msi
JM0058.001,-0.0327687306151731,1.08846024906844,186.797044751267,0.528341020229694,-0.630543732120914,3.19804764939209,5.18155089202215,-15.6927569133388,2.23684906049311,Msi
