Taxa,Ccirc.year3.BC,Bcirc.year3.BC,CmL.year3.BC,DBI.year3.BC,CmNdN.year3.BC,TotCulms.year3.BC,Yld.year3.BC,HD1.days.year3,Selection.index,Pop
IGR.2011.005,-0.906309389689861,8.48923584313475,173.779138761413,0.673414045462312,3.08863461198874,-1.78126988504393,0.28101216103009,7.58140610611943,-4.11528914388049,Msa_4x
JM11.002,1.81021933906322,9.00614341366154,80.7845143808563,0.555842912155094,1.63914755335077,3.60919300935068,10.6397107596367,59.6914145606672,-8.51263095609083,Msa_4x
JM11.006,-2.20723823425307,7.56008189936287,-6.21469713928023,0.416910207174077,0.606428072582332,2.04815305656363,3.32126655453767,12.6914145606673,-31.383400178387,Msa_4x
JM11.013,-0.337875582148042,8.96378755014759,221.428213237148,0.670438367079513,3.5868410577291,6.30357322347921,14.9771324966271,19.9212769330106,4.26520898187532,Msa_4x
JM11.019,-4.02619964059706,6.16485634748411,19.2381228346422,0.654237533093722,1.23257483245391,1.747632303693,-1.07709477878406,68.6914145606673,-77.2359191045957,Msa_4x
JM11.027,2.04350105752686,10.9191876173724,180.700355142039,0.432382548335601,1.61770725595633,1.04650881086987,0.249069403034594,-13.506442443731,5.03337363643851,Msa_4x
JM11.037,0.161984427494672,9.31298810164976,125.808647680979,0.71139931366799,1.46449412868954,1.21205338901504,2.25634489319327,59.6914145606672,-24.7017129041831,Msa_4x
JM11.040,-2.92678555048919,6.54811971557319,60.9271818518601,0.753506773543993,1.44797227317,1.44604120312869,1.78052892999707,59.6914145606672,-74.8960850923093,Msa_4x
JM2014.H.10,-0.157607340858295,9.67031204077109,-53.9853713015864,-0.309499846992939,0.715300759150584,-0.764305584876905,-3.94407357851843,-32.3085854393327,10.5566400584674,Msa_4x
JM2014.H.11,0.0528824843342194,11.5478861498338,27.3287684791672,0.355767673714139,1.96444757190345,1.81895963220223,0.411725547708404,-6.39432829089153,-114.19036415122,Msa_4x
JM2014.H.12,-1.56291701092736,6.84417857666011,-6.87605714803538,0.0364071256953496,0.944056256049517,5.13235233391378,-2.89824668528382,-29.3445924415446,-44.3788953020753,Msa_4x
JM2014.H.14,-6.41352952779521,5.35452738866608,-8.3338814018774,0.0450689747570674,0.382917719700755,4.49280802495898,-7.09291330600464,-20.9145080276057,-57.2394643929265,Msa_4x
JM2014.H.18,-5.86149627299576,6.72242422336896,-30.0384194983683,-0.130857884415634,-0.680817007658619,4.77768686336493,-4.15813837792234,-37.3664004391044,-7.09879913666895,Msa_4x
JM2014.H.19,-0.880820479153168,9.46166898141152,-26.4200915295205,0.198218468149911,-0.657055047930164,7.32857257990309,2.55233721892254,-36.1023128812969,-19.8346312007467,Msa_4x
JM2014.H.2,-0.880820479153168,8.38201259685545,-137.403555235397,0.109831610712095,-0.0163193837154646,0.439657828934356,-11.4998441886036,-24.7267821949504,-166.914501953435,Msa_4x
JM2014.H.20,0.900871230952146,8.10186621309973,-50.884951470648,0.00951385608036872,-0.547425282370136,3.50774070739023,-7.58462966887465,-29.0293212634669,-50.4333830639729,Msa_4x
JM2014.H.21,0.226148742259239,6.93492976769113,-146.623453089251,-0.22391311296633,-0.901761054195479,5.26679640069491,-3.87385955238628,-28.7864246902994,-64.9520779320051,Msa_4x
JM2014.H.22,-4.68189800623745,1.35736924854653,1.67678531131924,-0.021081798296033,0.624859454336813,2.07113618417729,-9.64641028297653,-24.7325373851752,-52.2080619632839,Msa_4x
JM2014.H.23,0.768182652793774,12.33405043066,-132.804674483746,-0.79466277008535,-1.23717780943326,-0.911926291957016,1.14343508010899,-32.3085854393327,78.7749918164665,Msa_4x
JM2014.H.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,Msa_4x
JM2014.H.25,-1.67974795018564,7.29323599661409,117.003899890623,-0.0567387285062929,1.09928185783359,2.81783393250945,0.729705691115588,-24.7131035448676,97.9688746239964,Msa_4x
JM2014.H.27,0.567074486958001,12.4922590874693,-32.7208601923915,-0.770400864305336,-0.264535962883354,6.31147972824093,0.451786624117858,-21.6495259079861,163.745477861074,Msa_4x
JM2014.H.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,Msa_4x
JM2014.H.29,-0.370998534792122,6.06844604526768,-84.7418168728769,-0.0401316106356859,0.483583759900141,3.74192429095747,-5.70683683276369,-30.5235586377547,-69.3637235369173,Msa_4x
JM2014.H.3,-0.514924833728065,8.13007739330126,-29.6419391388875,-0.132934747773737,-0.196220875111625,5.68574193773848,-2.97710605968805,-37.5103428602066,-31.0416476607291,Msa_4x
JM2014.H.4,4.22000162651559,13.6957586262191,-4.7922848547543,0.344655881724296,0.292683886391724,2.50648716090274,-3.53601666131123,-32.6093946509209,-91.6688570057569,Msa_4x
JM2014.H.41,NA,NA,31.4901527959109,-0.0969108271839955,-0.268424336507522,5.3756538930185,-2.46803492463201,-25.1349927735593,NA,Msa_4x
JM2014.H.42,-3.69471952213817,6.06844604526769,-99.5868458524834,-0.546291594221178,0.0172456845035279,4.40214119389744,-5.95245186461004,-25.8135558209637,41.0701233959076,Msa_4x
JM2014.H.43,-6.5272154596397,5.74778728574333,-62.2514626123435,-0.347708728737378,0.618002135586534,0.969293925906226,-8.7088077997562,-27.6116114814894,20.6994814359898,Msa_4x
JM2014.H.44,0.0876893548360772,8.29842349534351,-66.0278439174398,-0.0521962345105235,0.918200385478342,3.91297208708771,-6.44550162797231,-29.5871892523339,-42.9628285369759,Msa_4x
JM2014.H.46,-1.75816239179498,9.77378051679346,-220.086707429385,-0.520064534068291,0.173506645802708,4.49226728101547,-9.99504991856325,-21.8566326032515,-85.0403070607769,Msa_4x
JM2014.H.47,0.157071762648565,9.6703120407711,13.4308378332279,-0.309499846992938,0.24651739880985,2.84479920430927,-4.34745302570126,-62.3085854393327,15.4528927197753,Msa_4x
JM2014.H.48,-2.2378821677416,4.81478797469402,12.182401125073,0.164799212039651,0.444122675247218,2.39845963602356,-3.82700190825582,-5.16990092761139,-56.4923644653658,Msa_4x
JM2014.H.49,2.23308010940598,10.7054158050857,-23.3163212874813,0.0593850087939454,0.246517398809851,3.99060142447013,-5.42269145959694,-60.3085854393327,-45.9089424706847,Msa_4x
JM2014.H.51,-4.58450663217842,3.52751827726662,-28.2675954179703,-0.178112077366754,0.595326066119645,4.89857968075107,-5.53324745989813,-26.7496330070463,-49.1368272999957,Msa_4x
JM2014.H.52,2.53532732823821,9.77378051679345,-114.293461576983,-0.313638307198548,-0.63463887075669,10.0050756263364,1.06521387667178,-32.0723980457546,17.3518326217444,Msa_4x
