V1,V2,V3,V4,V5,Approach,Cycle,Trait
0.688548025145177,0.794831699517388,0.786384575513419,0.68661324359688,0.67008925196774,All,1,HD1.days.year3
0.6645712278125,0.821313664187979,0.784450446480278,0.687133985249674,0.682892393646298,CDmean,1,HD1.days.year3
0.662837074335774,0.808059447364422,0.775721771061011,0.663068122405933,0.665141703673176,Random,1,HD1.days.year3
0.656283770733153,0.761347933051694,0.677523773371309,0.767147557647775,0.751118315755332,All,2,HD1.days.year3
0.687213898409467,0.763815081159647,0.665341876028929,0.762374066600729,0.751328333297379,CDmean,2,HD1.days.year3
0.686317603225691,0.745664854417059,0.636203184644089,0.744622796678486,0.757691529123843,Random,2,HD1.days.year3
0.719515543793879,0.70933134899278,0.729445867947574,0.711329320848261,0.746898527985833,All,3,HD1.days.year3
0.672481887557327,0.671323874086264,0.737530385155029,0.690557730659322,0.724659704070283,CDmean,3,HD1.days.year3
0.592553351937976,0.63422791849393,0.728626619164812,0.707111405152959,0.631396220593785,Random,3,HD1.days.year3
0.716258334098431,0.717056914978452,0.744484471124571,0.764822237342456,0.67365961828184,All,4,HD1.days.year3
0.69434950530135,0.708335434210189,0.745001670997443,0.739421335629578,0.666856190414494,CDmean,4,HD1.days.year3
0.670467159571245,0.701122361110439,0.740427581021263,0.754801188330463,0.654160003313033,Random,4,HD1.days.year3
0.748874741121575,0.683960651027642,0.750355348838942,0.68374269697556,0.743514300402486,All,5,HD1.days.year3
0.733079752080254,0.687979271435975,0.743783453102178,0.676519124233566,0.715295198774149,CDmean,5,HD1.days.year3
0.69829131453966,0.660786218983703,0.664688885074244,0.635718971375929,0.72622785127998,Random,5,HD1.days.year3
0.765572193381174,0.775601318414972,0.739715861417118,0.69536941880822,0.65226364915534,All,6,HD1.days.year3
0.73512398377277,0.749648969001189,0.735291663160963,0.703451290703335,0.624824883355382,CDmean,6,HD1.days.year3
0.744376253681253,0.771707003191077,0.718178560305021,0.69923519932825,0.610293465419203,Random,6,HD1.days.year3
0.72505908500755,0.738373027038497,0.658009600797077,0.808887858220248,0.648612816647951,All,7,HD1.days.year3
0.734820894093262,0.74639645326527,0.653075339711012,0.780605413942612,0.648592773164296,CDmean,7,HD1.days.year3
0.738974089403992,0.671189109702239,0.662136846943889,0.711455822632991,0.630358140942819,Random,7,HD1.days.year3
0.728119161010346,0.731661001250403,0.657139645597742,0.745498013360124,0.726847932151541,All,8,HD1.days.year3
0.721796658442067,0.728992322093242,0.630946721055857,0.761538236038532,0.716888389559218,CDmean,8,HD1.days.year3
0.692254457535908,0.672467439633905,0.605882217356556,0.764463547270012,0.721859390964542,Random,8,HD1.days.year3
0.73642977853264,0.694354325702429,0.684153228352533,0.712604244963639,0.781524586820706,All,9,HD1.days.year3
0.712782570715701,0.64421238737633,0.69408058887978,0.713334582018076,0.743377943558481,CDmean,9,HD1.days.year3
0.688202081168419,0.622227290109099,0.687490461497621,0.641236034941644,0.75147442688636,Random,9,HD1.days.year3
0.630499603109228,0.720407605238702,0.770023427978741,0.697806601854934,0.787034595837636,All,10,HD1.days.year3
0.603817270359764,0.695596061416124,0.779995578816019,0.696074034596959,0.797446431154509,CDmean,10,HD1.days.year3
0.61649004179193,0.680374600319672,0.762176062180006,0.707564971863568,0.765160000235969,Random,10,HD1.days.year3
