"","Ccirc.year3.BC","Bcirc.year3.BC","CmL.year3.BC","DBI.year3.BC","CmNdN.year3.BC","TotCulms.year3.BC","Yld.year3.BC","HD1.days.year3","Selection.index"
"10UI-009-M001A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10UI-009-M001B",-4.8232868313983,-4.8999740980009,-356.282313828841,-0.562752205418797,2.61832042345898,-7.81924463924129,-17.7907821405767,NA,-18.0300587144508
"10UI-009-M002A",-1.4070096781752,-1.6717821786849,-79.3170885543582,0.0661388796858855,0.231259955048343,-0.774983913496928,-5.97648269197489,-8.75000000875133,-5.07595956937826
"10UI-009-M002B",-0.976420721535909,-0.618507885260117,16.432026537309,0.202923141252825,-0.688063513566333,-1.65707317610565,-3.28710561531152,-3.50000000875151,-2.04072760546541
"10UI-009-M003B",-5.78252971317378,-5.32771738657867,-403.321185513647,-0.774034555589584,-1.42604974286013,-7.22263301470614,-19.0745119816688,NA,-20.4420511356314
"10UI-009-M004A",-0.053253030897511,1.75620658886413,163.480307955683,0.134317286457779,0.888936669353755,2.36888244305932,4.79110980185196,-7.00000000875137,5.3882987537305
"10UI-009-M004B",-0.602033400417224,-0.826870608325914,-189.660144226953,0.243518203041395,0.329326864504568,0.765268165664927,-3.21102181681761,24.4999999912481,-2.76080089101501
"10UI-009-M005A",-0.86617793836149,-1.68685155543292,27.4676986916568,-0.0739320196008859,-0.922749474279549,-1.46120149692183,-2.40418723884982,10.4999999912485,-2.92645802790551
"10UI-009-M006A",-3.63685974292572,-4.20656157646205,-247.085067444946,-0.269317591527875,-0.478052760848764,-6.549220497251,-15.516671380039,18.5631662534228,-14.90486143849
"10UI-009-M007B",1.54276435181577,1.63130108110577,129.692058169509,0.237874995593267,0.109412494580666,8.6741059982672,14.3016697217302,22.7499999912482,11.4899032618053
"10UI-009-M011A",-3.57928507898871,-6.24691444300429,-327.61771186211,-0.485202045943526,-1.5373343589273,-5.60688883672937,-14.8943239255133,20.5381084595677,-16.9615868545377
"10UI-009-M012A",-0.60697425678788,0.810626701868159,15.7235660816764,-0.0839254856180393,-0.922749474279548,3.20602280051073,1.31044312007845,-15.7500000087515,1.13449594726952
"10UI-009-M013A",-1.7798291388532,-2.17654033828179,18.93675411155,-0.02608913894192,0.11917090513567,-0.046118597715921,-4.17881560331021,-3.50000000875155,-4.14916707592165
"10UI-009-M013B",-6.13872228290628,-5.66879365077615,-352.733811294441,-0.633204406047634,-1.0950825856116,-7.99822770523153,-20.5449311165268,21.0559386968945,-19.5206209026472
"10UI-009-M014A",-0.23884600406193,0.729581432105834,2.3974332120559,-0.0842894965173642,-0.621057386148346,3.56138979448944,1.42795124351952,11.2499999912483,1.34516064933356
"10UI-009-M015A",-3.24795045962668,-2.2567320286888,-253.642333415702,-0.272198604628274,-0.107437427621606,-2.73534682376914,-13.1967804420682,20.9999999912487,-11.9520126741116
