V1,V2,V3,V4,V5,Approach,Cycle,Trait
0.197654349996047,0.560843760882727,0.482528186891131,0.413040074480814,0.570152372438369,All,1,Selection.index
0.181328677745718,0.516415056387811,0.480000165852497,0.413792314028165,0.540995277884556,CDmean,1,Selection.index
0.229897749692838,0.507211666314128,0.458473737085613,0.464993217225389,0.473852942534091,Random,1,Selection.index
0.540577266545424,0.435007732067395,0.359223897845302,0.546929268423491,0.374427226712245,All,2,Selection.index
0.521425727631012,0.410091231922356,0.358190296722843,0.560948388972484,0.359301657249391,CDmean,2,Selection.index
0.511860701625661,0.441969094247772,0.370198371659307,0.554718364523241,0.205285353572788,Random,2,Selection.index
0.50506181946746,0.465587805511563,0.512653893226173,0.339137904026899,0.365510795065356,All,3,Selection.index
0.507545048173255,0.501407180675127,0.51221558012618,0.345468717568806,0.380032520880878,CDmean,3,Selection.index
0.512570710684333,0.427316463583487,0.419057044473945,0.360420644910151,0.200302849730236,Random,3,Selection.index
0.455655112006106,0.240084355700886,0.463555895530605,0.426613947578149,0.582149273826963,All,4,Selection.index
0.421697985846553,0.244726159909548,0.440947877473098,0.431494558841541,0.56560430768072,CDmean,4,Selection.index
0.254708937840713,0.212741122642312,0.0695045662070545,0.440390311554361,0.565536313427092,Random,4,Selection.index
0.5459690118592,0.510248352538846,0.396549828449856,0.277818883911964,0.514624783119058,All,5,Selection.index
0.564565392765368,0.502383306345648,0.419817051806183,0.28878014022743,0.461896665896079,CDmean,5,Selection.index
0.575456638894363,0.50087603656266,0.408766930284644,0.263399427729336,0.415670987746818,Random,5,Selection.index
0.416042233802898,0.286811120534446,0.529142201827174,0.494207159769636,0.505344291716659,All,6,Selection.index
0.375055230954425,0.277559248378093,0.490521662377804,0.451167543254492,0.487305309112851,CDmean,6,Selection.index
0.338326290010063,0.175574722405906,0.502721622579816,0.47509524276911,0.402330427406819,Random,6,Selection.index
0.558928063057458,0.429830197212372,0.496731365633088,0.333141600182778,0.43731753277914,All,7,Selection.index
0.545621582507129,0.421070698809777,0.492412600903138,0.254112889082158,0.379895083278337,CDmean,7,Selection.index
0.437727768662526,0.389417099229405,0.485433912139659,0.178129380998403,0.154773445511788,Random,7,Selection.index
0.374351607200342,0.505627883332708,0.478325965291672,0.345871625489228,0.467218172183868,All,8,Selection.index
0.345668737990239,0.487060843485554,0.455015514811115,0.306592178081106,0.42871506527827,CDmean,8,Selection.index
0.274033520652397,0.528190389965522,0.230571160488858,0.219741070369266,0.355885739198493,Random,8,Selection.index
0.516825872391637,0.389416579297997,0.520513776553915,0.176442429714013,0.62433340881091,All,9,Selection.index
0.483306553495132,0.385830023508716,0.479160277047682,0.18685702260584,0.595647174101205,CDmean,9,Selection.index
0.514565527652778,0.380435817078607,0.431776818878229,0.203252325917798,0.540606888975684,Random,9,Selection.index
0.344694304279889,0.457328138215578,0.498477740060264,0.488603215153357,0.423188138712324,All,10,Selection.index
0.300043394711046,0.510499505088149,0.462150516494017,0.487127497228109,0.305982046605482,CDmean,10,Selection.index
0.354269293552183,0.469736803366438,0.44576671029043,0.470580297164677,0.332109746723507,Random,10,Selection.index
